Week,Beef bought,Beef thrown,Beef deficit,Beef Y,Chicken bought,Chicken thrown,Chicken deficit,Chicken Y,Pork bought,Pork thrown,Pork deficit,Pork Y,Turkey bought,Turkey thrown,Turkey deficit,Turkey Y,Other meat bought,Other meat thrown,Other meat deficit,Other meat Y,Eggs bought,Eggs thrown,Eggs deficit,Eggs Y,Root vegetables bought,Root vegetables thrown,Root vegetables deficit,Root vegetables Y,Gourds bought,Gourds thrown,Gourds deficit,Gourds Y,Leafy vegetables bought,Leafy vegetables thrown,Leafy vegetables deficit,Leafy vegetables Y,Bulky vegetables bought,Bulky vegetables thrown,Bulky vegetables deficit,Bulky vegetables Y,Other vegetables bought,Other vegetables thrown,Other vegetables deficit,Other vegetables Y,Breads bought,Breads thrown,Breads deficit,Breads Y,Grains bought,Grains thrown,Grains deficit,Grains Y,Dairy bought,Dairy thrown,Dairy deficit,Dairy Y,Number of sales,Season
1,90,2.5,0,87.5,65,0,2,67,80,0,2,82,55,0,0,55,11,0,0,11,9,0,0,8,120,0,10,130,20,0,3,21,15,3,0,8,25,0,0,25,10,0,2,13,115,0,1,120,300,4,0,294,40,0,0,37,400,Winter
2,90,5,0,85,65,7,0,58,80,4,0,76,55,6,0,49,11,4,0,7,9,1,0,7,0,0,0,0,0,0,0,0,7,0,1,12,25,0,0,22,14,1,0,12,120,0,0,114,0,0,0,0,40,3,0,38,390,Winter
3,70,4,0,66,45,0,0,45,60,3,0,57,35,0,1,36,8,3,0,5,7,0,0,6,0,0,0,0,20,0,1,20,13,1,0,4,25,3,0,24,12,0,0,15,113,0,1,102,0,0,0,0,35,0,3,46,347,Winter
4,55,0,7,62,30,3,0,27,45,0,6,51,20,3,0,17,5,0,0,5,6,0,0,8,130,0,0,130,0,0,0,0,3,0,1,14,20,0,4,25,10,0,5,20,96,0,6,105,0,0,0,0,45,0,1,40,403,Winter
5,120,1.5,0,118.5,95,0,3,98,110,1,0,109,85,0,3,88,16,1,0,15,9,1,0,9,0,0,0,0,20,0,0,18,12,0,2,13,25,0,0,25,19,0,1,16,105,0,0,115,300,6,0,0,40,0,0,40,468,Winter
6,115,4.5,0,110.5,90,3,0,87,105,0,1,106,80,2,0,78,15,0,0,15,9,0,0,6,0,0,0,0,0,0,0,0,14,1,0,16,25,0,0,23,18,2,0,13,117,2,0,102,0,0,0,0,40,0,0,44,417,Winter
7,80,5,0,75,55,4,0,51,70,4,0,66,45,4,0,41,9,0,0,9,7,1,0,6,125,0,5,125,20,2,0,15,21,5,0,21,25,2,0,23,13,0,0,12,98,0,4,106,0,0,0,0,40,0,4,48,380,Winter
8,70,2,0,68,45,5,0,40,60,2,0,58,35,9,0,26,8,2,0,6,7,1,0,8,0,0,0,0,0,0,0,0,22,1,0,19,25,2,0,19,12,0,0,10,104,0,2,102,0,0,0,0,50,2,0,44,373,Winter
9,65,9,0,56,40,2,0,38,55,8,0,47,30,2,0,28,7,2,0,5,8,0,0,7,0,0,0,0,20,5,0,15,14,0,5,15,25,6,0,20,11,1,0,16,101,0,1,103,250,0,1,0,50,6,0,40,407,Spring
10,60,0,9,69,35,0,4,39,50,0,8,58,25,1,4,29,6,0,8,14,6,0,1,9,125,0,0,118,0,0,0,0,12,0,3,14,20,0,0,22,11,0,5,19,99,0,4,118,0,0,0,0,40,0,0,33,424,Spring
